fund_code,fund_name,nav_date,unit_nav,accumulated_nav,daily_growth_rate_percent,source
110008,易方达稳健收益债券B,2019-07-11,1.3167,2.1813,-0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-12,1.3195,2.1841,0.21,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-15,1.3202,2.1848,0.05,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-16,1.3196,2.1842,-0.05,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-17,1.3203,2.1849,0.05,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-18,1.3171,2.1817,-0.24,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-19,1.3189,2.1835,0.14,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-22,1.3154,2.18,-0.27,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-23,1.317,2.1816,0.12,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-24,1.3186,2.1832,0.12,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-25,1.3213,2.1859,0.2,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-26,1.3241,2.1887,0.21,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-29,1.325,2.1896,0.07,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-30,1.3269,2.1915,0.14,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-31,1.3267,2.1913,-0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-01,1.3261,2.1907,-0.05,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-02,1.3245,2.1891,-0.12,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-05,1.3214,2.186,-0.23,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-06,1.3193,2.1839,-0.16,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-07,1.3203,2.1849,0.08,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-08,1.3235,2.1881,0.24,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-09,1.3226,2.1872,-0.07,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-12,1.3274,2.192,0.36,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-13,1.3264,2.191,-0.08,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-14,1.3284,2.193,0.15,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-08-15,1.3305,2.1951,0.16,东方财富基金历史净值接口
